"","Week","Stage","mean","lci","uci"
"53","May 01 19","copepodid",0,0,0
"156","Apr 21 21","copepodid",0,0,0
"158","May 05 21","copepodid",0,0,0
"160","May 19 21","copepodid",0,0,0
"215","May 01 19","chalimus",0,0,0
"318","Apr 21 21","chalimus",0,0,0
"320","May 05 21","chalimus",0,0,0
"322","May 19 21","chalimus",0.0190776406245648,0.0181282333983552,0.0219230769230769
"377","May 01 19","motile",0,0,0
"480","Apr 21 21","motile",0,0,0
"482","May 05 21","motile",0,0,0
"484","May 19 21","motile",0,0,0
"539","May 01 19","total",0,0,0
"642","Apr 21 21","total",0,0,0
"644","May 05 21","total",0,0,0
"646","May 19 21","total",0.0204132573111701,0.01657824933687,0.0235042735042733
